Year,Month,Line,DayType,Riders,Shakeup,Provider,Mode,Days
2021,3,16,DX,12668,202012,DO,Bus,23
2014,10,35,DX,11675,201406,DO,Bus,23
2019,10,167,DX,2553,201906,PT,Bus,23
2013,10,166,DX,7364,201306,DO,Bus,23
2017,3,16,DX,22166,201612,DO,Bus,23
2018,10,607,DX,65,201806,PT,Bus,23
2022,8,81,DX,8532,202206,DO,Bus,23
2010,3,212,DX,13004,200912,DO,Bus,23
2010,3,780,DX,11575,200912,DO,Bus,23
2023,3,244,DX,1570,202212,DO,Bus,23
2015,7,14,DX,18358,201506,DO,Bus,23
2009,7,121,DX,2724,200906,DO,Bus,23
2017,8,76,DX,8755,201706,DO,Bus,23
2016,3,222,DX,1814,201601,DO,Bus,23
2012,10,236,DX,2842,201206,DO,Bus,23
2012,10,76,DX,10690,201206,DO,Bus,23
2014,10,128,DX,1655,201406,PT,Bus,23
2015,7,270,DX,2560,201506,PT,Bus,23
2018,10,344,DX,1477,201806,DO,Bus,23
2015,7,78,DX,10504,201506,DO,Bus,23
2016,3,10,DX,12551,201601,DO,Bus,23
2016,3,211,DX,660,201601,DO,Bus,23
2018,10,2,DX,12774,201806,DO,Bus,23
2017,8,176,DX,1682,201706,DO,Bus,23
2019,10,55,DX,8199,201906,DO,Bus,23
2014,10,150,DX,10813,201406,DO,Bus,23
2022,8,224,DX,4809,202206,DO,Bus,23
2012,10,251,DX,9276,201206,DO,Bus,23
2021,3,4,DX,9323,202012,DO,Bus,23
2015,7,130,DX,3320,201506,PT,Bus,23
2016,8,66,DX,12842,201606,DO,Bus,23
2014,10,62,DX,5502,201406,DO,Bus,23
2013,10,154,DX,1334,201306,DO,Bus,23
2013,10,234,DX,6833,201306,DO,Bus,23
2019,10,108,DX,16001,201906,DO,Bus,23
2011,8,212,DX,13249,201106,DO,Bus,23
2020,7,167,DX,909,202006,PT,Bus,23
2019,10,212,DX,11603,201906,DO,Bus,23
2011,3,442,DX,230,201012,DO,Bus,23
2011,8,232,DX,5960.5652173913,201106,PT,Bus,23
2014,10,53,DX,15120,201406,DO,Bus,23
2017,8,218,DX,925,201706,PT,Bus,23
2022,8,267,DX,841,202206,DO,Bus,23
2015,7,18,DX,20530,201506,DO,Bus,23
2022,3,287,DX,544,202202,DO,Bus,23
2019,10,236,DX,1785,201906,DO,Bus,23
2020,7,245,DX,662,202006,DO,Bus,23
2023,3,222,DX,850,202212,DO,Bus,23
2011,3,125,DX,4817.69565217391,201012,PT,Bus,23
2023,8,127,DX,1623,202306,DO,Bus,23
2021,3,202,DX,136,202012,DO,Bus,23
2020,7,344,DX,633,202006,DO,Bus,23
2020,7,35,DX,3214,202006,DO,Bus,23
2018,8,102,DX,2642,201806,DO,Bus,23
2011,3,577,DX,1192,201012,PT,Bus,23
